Class,Title,Instructor,Cr Hrs,Type,Enroll,Limit,Bld,Room,Day,Start,Stop,Unit Dept,Start Mtg Dt,End Mtg Dt,Session ID,Session Desc,Session Start Dt,Session End Dt,School Drop Dt,Last Reg Dt,Eligible Grade Dt,Last Drop w/o W Dt,Last Drop with W Dt,XRG,Non XRG
CAS AH460ELP,Sem 17th/18th C,Staff,6,Independent,0,999,,,Arranged,,,36673,08/31/2021,12/10/2021,SALP,STUDY ABROAD-LONDON,08/31/2021,12/12/2021,11/10/2021,09/01/2021,12/03/2021,10/01/2021,11/07/2021,0,0
CAS AH480ECI,Sem Modern Art,Staff,6,Independent,0,999,,,Arranged,,,36673,08/31/2021,12/10/2021,SALP,STUDY ABROAD-LONDON,08/31/2021,12/12/2021,11/10/2021,09/01/2021,12/03/2021,10/01/2021,11/07/2021,0,0
CAS AH480ELP,Sem Modern Art,Staff,6,Independent,0,999,,,Arranged,,,36673,08/31/2021,12/10/2021,SALP,STUDY ABROAD-LONDON,08/31/2021,12/12/2021,11/10/2021,09/01/2021,12/03/2021,10/01/2021,11/07/2021,0,0
CAS AH490ECI,Sem History Art,Staff,6,Independent,0,999,,,Arranged,,,36673,09/08/2021,12/17/2021,SACI,STUDY ABROAD-COURTAULD INSTITUE OF ART LONDON,09/08/2021,12/19/2021,11/17/2021,09/08/2021,12/10/2021,10/09/2021,11/14/2021,0,0
CAS AH490ELP,Sem History Art,Staff,6,Independent,0,999,,,Arranged,,,36673,08/31/2021,12/10/2021,SALP,STUDY ABROAD-LONDON,08/31/2021,12/12/2021,11/10/2021,09/01/2021,12/03/2021,10/01/2021,11/07/2021,0,0
CAS AH500 A1,Tpcs: Haa,Feng,4,Independent,0,14,,,Tue,3:30 PM,6:15 PM,20208,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS AH500 B1,Tpcs: Haa,Barrett,4,Independent,0,14,,,Fri,11:15 AM,2:00 PM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH501 A1,Practicum,Hall,4,Directed Study,0,5,,,Arranged,,,20208,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH503 A1,Art Hist Methds,Williams,4,Independent,0,14,,,Wed,2:30 PM,5:15 PM,20208,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AH505EDP,Intern Arts/Arc,Staff,4,Independent,0,999,,,Arranged,,,36686,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH505EHW,Intern Arts/Arc,Staff,4,Independent,0,999,,,Arranged,,,36687,08/25/2021,12/07/2021,SAHW,STUDY ABROAD-LOS ANGELES (HW & HM),08/25/2021,12/07/2021,11/04/2021,08/25/2021,11/27/2021,09/26/2021,11/03/2021,0,0
CAS AH505ELP,Intern Arts/Arc,Staff,4,Independent,0,999,,,Arranged,,,36673,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH505EMP,Intern Arts/Arc,Staff,4,Independent,0,999,,,Arranged,,,36671,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH505EPP,Intern Arts/Arc,Staff,4,Independent,0,999,,,Arranged,,,36677,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH505EPV,Intern Arts/Arc,Staff,4,Independent,0,999,,,Arranged,,,36675,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH505ESD,Intern Arts/Arc,Staff,4,Independent,0,999,,,Arranged,,,36678,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH505ESH,Intern Arts/Arc,Staff,4,Independent,0,999,,,Arranged,,,36683,09/02/2021,12/10/2021,,,,,,,,,,0,0
CAS AH505EWP,Intern Arts/Arc,Staff,4,Independent,0,999,,,Arranged,,,36680,08/24/2021,12/14/2021,SAWP,STUDY ABROAD-WASHINGTON D.C. (WP & WJ),08/24/2021,12/14/2021,11/06/2021,08/25/2021,12/04/2021,09/29/2021,11/05/2021,0,0
CAS AH520 A1,Museums,Hall,4,Independent,0,14,,,Thu,12:30 PM,3:15 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH527 A1,Art & Society,Kahn,4,Independent,0,14,,,Thu,3:30 PM,6:15 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH532 A1,Japanese Print,Tseng,4,Independent,0,14,,,Mon,2:30 PM,5:15 PM,20208,09/13/2021,12/06/2021,,,,,,,,,,0,0
CAS AH533 A1,Grk Art & Arch,Martin,4,Independent,0,14,,,Thu,3:30 PM,6:15 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH543 A1,Lat Art Cld War,Reyes,4,Independent,0,14,,,Fri,2:30 PM,5:15 PM,,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH548 A1,Global Heritage,Haenraets,4,Independent,0,14,,,Thu,3:30 PM,6:15 PM,20208,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AH554 A1,Bost Arch Wkshp,Bluestone,4,Independent,0,5,,,Wed,2:30 PM,5:15 PM,20208,09/08/2021,12/08/2021,,,,,,,,,,0,0
CAS AH557 A1,Ren-Manner Art,Cranston,4,Independent,0,14,,,Fri,11:15 AM,2:00 PM,20208,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AH582 A1,Historic Houses,Hall,4,Independent,0,14,,,Tue,12:30 PM,3:15 PM,20208,09/07/2021,12/07/2021,,,,,,,,,,0,0
CAS AM220 A1,Nativeamstudies,Battenfeld,4,Independent,0,20,,,"Tue,Thu",11:00 AM,12:15 PM,20228,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AM250 A1,Am Arts and Soc,Staff,4,Independent,0,15,,,"Tue,Thu",9:30 AM,10:45 AM,20228,09/02/2021,12/09/2021,,,,,,,,,,0,0
CAS AM367 A1,Material Cultur,Lennard,4,Independent,0,18,,,"Mon,Wed,Fri",10:10 AM,11:00 AM,20228,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AM501 A1,Topics-Am Stud,Haenraets,4,Independent,0,15,,,Fri,11:15 AM,2:00 PM,20228,09/03/2021,12/10/2021,,,,,,,,,,0,0
CAS AM555 A1,Bost Arch Wkshp,Bluestone,4,Independent,0,11,,,Wed,2:30 PM,5:15 PM,20228,09/08/2021,12/08/2021,,,,,,,,,,0,0
